1	12/24/2018	1/08/2019	1/15/2019	12	1/09/2019 – Wednesday
2	1/9/2019	1/24/2019	1/31/2019	12	1/25/2019 – Friday
3	1/25/2019	2/9/2019	2/15/2019	11	2/11/2019 – Monday
4	2/10/2019	2/23/2019	2/28/2019	10	2/25/2019 – Monday
5	2/24/2019	3/9/2019	3/15/2019	10	3/11/2019 – Monday
6	3/10/2019	3/23/2019	3/29/2019	10	3/25/2019 – Monday
7	3/24/2019	4/8/2019	4/15/2019	11	4/9/2019 – Tuesday
8	4/9/2019	4/23/2019	4/30/2019	11	4/24/2019 – Wednesday
9	4/24/2019	5/8/2019	5/15/2019	11	5/9/2019 – Thursday
10	5/9/2019	5/25/2019	5/31/2019	12	5/28/2019 – Tuesday
11	5/26/2019	6/8/2019	6/14/2019	10	6/10/2019 – Monday
12	6/9/2019	6/22/2019	6/28/2019	10	6/24/2019 – Monday
13	6/23/2019	7/8/2019	7/15/2019	11	7/9/2019 – Tuesday
14	7/9/2019	7/24/2019	7/31/2019	12	7/25/2019 – Thursday
15	7/25/2019	8/8/2019	8/15/2019	11	8/9/2019 – Friday
16	8/9/2019	8/24/2019	8/30/2019	11	8/26/2019 – Monday
17	8/25/2019	9/7/2019	9/13/2019	10	9/9/2019 – Monday
18	9/8/2019	9/23/2019	9/30/2019	11	9/24/2019 – Tuesday
19	9/24/2019	10/8/2019	10/15/2019	11	10/9/2019 – Wednesday
20	10/9/2019	10/24/2019	10/31/2019	12	10/25/2019 – Friday
21	10/25/2019	11/9/2019	11/15/2019	11	11/11/2019 – Monday
22	11/10/2019	11/23/2019	11/27/2019	10	11/25/2019 – Monday
23	11/24/2019	12/7/2019	12/13/2019	10	12/9/2019 – Monday
24	12/8/2019	12/24/2019	12/31/2019	12	12/26/2019 – Thursday
